"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/11/15","ソフトバンクM(10月分)","-825","三井住友カード (VpassID)","通信費","携帯電話","","0","Q8iBy-MSacr_g-ZCqAgTMggbOgPfIP4Pvd9SgmFfy3I"
"1","2025/11/15","ソフトバンクM(10月分)","-3209","三井住友カード (VpassID)","通信費","携帯電話","","0","25G0cIeJ10u0LEDsVYCoi0aTCyCK3ZzhUHJDveHvuXY"
"1","2025/11/15","コミュニティサイクル 利用料金","-165","三井住友カード (VpassID)","交通費","その他交通費","","0","MSUOZ104R9cniAZheG-P_S2I-QEsPsLAdqN14A-RVFM"
"1","2025/11/14","MUJI 無印良品 マイルドスクラブ洗顔フォーム(大容量) ・220g 84464881 販売: Amazon.co.jp","-791","Amazon.co.jp","日用品","日用品","","0","Q90-dvaPKfaZ3xdRAtHeKWjs3zvhp2QEnkgfwxp4YfE"
"1","2025/11/14","skew CBD ベイプ ペン 30% 300mg 使い捨て CBD 200mg CBN 100mg 1ml 高濃度 CBD 電子タバコ 国内製造 vape ブロードスペクトラム (マスカット) 販売: 【メーカー公式】株式会社Leep","-990","Amazon.co.jp","未分類","未分類","","0","eBY03QkhqR2P_KJqABT74-xd-2OyS6WRJl1MKXiLtq0"
"1","2025/11/14","キャンドゥ新衣笠店/iD","-440","三井住友カード (VpassID)","未分類","未分類","","0","cTGrfsqZ9cTqVje-F1RnNeIbRoz63XTPLAA2hWeZd60"
"1","2025/11/14","イデミツ(アポロステーション)","-1696","三井住友カード (VpassID)","自動車","ガソリン","","0","ChhzdcXoOMcFHIsZGuWxgrFdXq87jsZi9tajivjWSr4"
"1","2025/11/14","マクドナルド/iD","-250","三井住友カード (VpassID)","食費","外食","","0","WZaNNIDKEdqeqDNP7VJMsvRflrFC81O3Bhcbp9pFcmk"
"0","2025/11/14","AMAZON.CO.JP","-791","三井住友カード (VpassID)","教養・教育","書籍","","1","NOQc4XNUGP0aZIbs-aKySxa6zxNgt3EGf4CyHD-EQkI"
"1","2025/11/13","割引","155","Amazon.co.jp","収入","その他入金","","0","KWjjHJZwQ_dtJURxH3x7x2-7vwpHk5CjUtTcPLlpvdo"
"1","2025/11/13","キユーピー あえるパスタソース カルボナーラ 濃厚チーズ仕立て 6個 (1人前×2袋) まぜるだけ 販売: Amazon.co.jp","-1552","Amazon.co.jp","食費","外食","","0","Wpyx4JYvh6w9Hi0tJQwMh6UtuU1hZVnmTX8PAFuks8c"
"1","2025/11/13","キユーピー あえるパスタソース ミートソース フォン・ド・ヴォー仕立て 6個 (1人前×2袋) まぜるだけ 販売: Amazon.co.jp","-1545","Amazon.co.jp","食費","外食","","0","n4cD5aOB_nwdQ3o_5VF7jJ9mjFcbrpGzfOKRrzyngUM"
"1","2025/11/13","by Amazon スパゲッティ 1.6mm 5kg トルコ産 販売: Amazon.co.jp","-1987","Amazon.co.jp","食費","食費","","0","CV78V4lO3TcgicQOXkfztt7Dvhpol5Ly2dm5nLxrDzU"
"0","2025/11/13","AMAZON.CO.JP","-990","三井住友カード (VpassID)","教養・教育","書籍","","1","Nj1aCQBdJ7CgChG6N1_k2_Fx0O0MvyHCQLfI3Zlw8cY"
"1","2025/11/13","AMAZON.CO.JP","-2942","三井住友カード (VpassID)","教養・教育","書籍","","0","P51mt279q3gReXdpelolv7YVO3UDZ87eiMKXcx8stA8"
"1","2025/11/12","ミステリーの書き方 (幻冬舎文庫) 販売: Amazon.co.jp","-1122","Amazon.co.jp","未分類","未分類","","0","KkBWj11ohPxrzrzef_PhDt4ndgIwOU3VNQJkh_9AeSA"
"1","2025/11/12","相鉄ローゼン","-5977","三井住友カード (VpassID)","食費","食料品","","0","7RqByz52wbCLVtr1jugj-mfbM5vwpt_Z-7aj9AIn6Pk"
"0","2025/11/12","AMAZON.CO.JP","-1122","三井住友カード (VpassID)","教養・教育","書籍","","1","Am3efTW4GniIaoTd5czHHluKfBEA8olBBmUW-glVHMM"
"1","2025/11/12","AMAZON.CO.JP","-1987","三井住友カード (VpassID)","教養・教育","書籍","","0","rqNSun8Qnc5F985Pt1ovJYUpF5QN3WFr1KnXjaW-rCw"
"0","2025/11/11","ジドウキ (521)","3000","現金","未分類","未分類","","1","q4NwLBQXlE3I8QQumA0uvEvPEqcbDWkOR_hITvJBFBQ"
"0","2025/11/11","ジドウキ (521)","-3000","横浜銀行","現金・カード","ATM引き出し","","1","2t1nu9TUgWNnO_FDdM3ovZ6TlvN_NJWoHku1iDL7LZg"
"1","2025/11/11","PAYPAY","4000","横浜銀行","未分類","未分類","","0","RBOjQV7vJTpCEkB06rcuHCeEOiu1TJ0vqyOMuWp4Whg"
"1","2025/11/11","アクサダイレクト 自動車保険 月次","-2520","ポケットカード","保険","その他保険","","0","TjSZk7eA0Hp7FysFovmsuN3W8rNOLamoR1YQvIHNKnM"
"1","2025/11/11","muse 上野店/NFC","-7513","ポケットカード","未分類","未分類","","0","773nFcVPk4Lr_F31Lfk2Giy3kjJGmz3H777TNI2Ppkg"
"1","2025/11/11","島村楽器 新宿ペペ店/iD","-3740","三井住友カード (VpassID)","食費","外食","","0","vP2URSjzBGtpcX_-9B8Owt7AMY3dUHnYAlpVcMtDlL8"
"1","2025/11/11","セブン-イレブン/iD","-186","三井住友カード (VpassID)","食費","食料品","","0","U2j4WIrhk5ukNXoh-RT1u3GTe_paGWGdNdbMM_Eb7Mc"
"1","2025/11/11","ナギちゃんラ-メン/iD","-1100","三井住友カード (VpassID)","食費","外食","","0","1SSOtF7ERUad1pw9al82EVbKHJqs95lNixfLhKPNxgQ"
"1","2025/11/10","カ)エコクラフトカンリブ","3000","横浜銀行","未分類","未分類","","0","yJpH_7SUQJzcYacYo8NMJySxSroFWj7AdfkVOLzjPEg"
"1","2025/11/10","NIMASO ガラスフィルム iPhone 16 / iPhone 15 用 強化ガラス 保護フィルム ガイド枠付き 指紋防止 高透過率 衝撃吸収 2枚セット アイフォン16 / アイフォン15 対応(6.1インチ) DSP24G1438 販売: NimasoDirect","-1210","Amazon.co.jp","未分類","未分類","","0","WCqEBB8t1dTyIRSQvZwm2OcsCUnIyvmX21YEWARslQs"
"1","2025/11/10","povoご利用料金","-550","三井住友カード (VpassID)","通信費","携帯電話","","0","kbo-ul3KrNMgcSKczSCvUAr-cIH5bNh9WVQAyolZ60w"
"0","2025/11/10","ヘンサイキン11ガツ","10000","仙台銀行","未分類","未分類","","1","QhXesWjS-IkJo6H5ZXl0rnTF3DGg9wMJZvZ25yrqGY0"
"1","2025/11/10","カシコシリソク11ガツ","-311","仙台銀行","その他","雑費","","0","bCu00Cm7PQqA71Ih_5oER0Mms9tpgU0ux5yBGTDDqmo"
"0","2025/11/10","ヘンサイキン11ガツ","-10000","仙台銀行","住宅","ローン返済","","1","N7n6tRBABTJxnKPxnZAl2Mb6vF9h0lN1lZndM65KeX4"
"1","2025/11/10","モバイルPASMOチャージ","-5000","三井住友カード (VpassID)","現金・カード","電子マネー","","0","GrQfixdd2m4KdZDyKdZzIMQgwVNSk_y3o5f0ZcAV2sQ"
"0","2025/11/10","AMAZON.CO.JP","-1210","三井住友カード (VpassID)","教養・教育","書籍","","1","TUPFIWmcVPdxu7JzNZKbO5w_7iKxCA0g7zqLJXGbVq8"
"1","2025/11/09","Square/iD","-2640","三井住友カード (VpassID)","その他","立替","","0","3ApcJ8bPsjwsHw50jBfpa8hRioOA79g4SNgnFZ8Zy5M"
"1","2025/11/09","AUBEHAIRkanon横浜2号/iD","-2600","三井住友カード (VpassID)","未分類","未分類","","0","Zqjt_IHdWuTYt0oGSPBt3qht69WFdwsg9A53sZUQYQw"
"1","2025/11/09","ファミリーマート/iD","-615","三井住友カード (VpassID)","食費","食料品","","0","DRzl6NWJYZoJrRcetpkRygiO-PK1zABZBvm8yAWxCYM"
"1","2025/11/09","株式会社Luup","-1290","ポケットカード","交通費","その他交通費","","0","zW30R92cVmjRcK22inwyKvsCfwgx3Mm86kq2682g9KE"
"1","2025/11/08","マルコメ 味噌 たっぷりお徳料亭の味 36食×3個 販売: Amazon.co.jp","-1773","Amazon.co.jp","未分類","未分類","","0","PSOma5OjEpvhfWYzqMWqDxsUHm0siL0tDpOABJpNuwA"
"1","2025/11/08","サウンドスタジオノア 新宿店/iD","-2970","三井住友カード (VpassID)","未分類","未分類","","0","FQ0DM5t3ejWESoddhpwkwC7iO79VWOXhLqJW2i_bf-I"
"1","2025/11/08","モバイルPASMOチャージ","-5000","三井住友カード (VpassID)","現金・カード","電子マネー","","0","mDKiHFHhiosMzV2yQq7It1uqmySML0z1pm2uwAV2IRE"
"1","2025/11/08","ファミリーマート/iD","-182","三井住友カード (VpassID)","食費","食料品","","0","PwNrkBlmCSKpEEIYTuCdG7EBGUK7kR0ILjwKAHeO2Dw"
"1","2025/11/08","ファミリーマート/iD","-178","三井住友カード (VpassID)","食費","食料品","","0","r5hQrKimngMmDmw3Rib_BtvbpA0SpdB3DXG8_611J7k"
"1","2025/11/07","振込 ミズホJCBキヤツシユバツク","9","みずほ銀行","収入","その他入金","","0","iM0TASz062YdPLD8VukCbocB55FQ-cVXWKpgPyjBV1g"
"1","2025/11/07","セブン-イレブン/iD","-1213","三井住友カード (VpassID)","食費","食料品","","0","K7GKdO2zoJHGNuhegPHeDvikBHjIT9ZHzEwAjWupgZA"
"0","2025/11/07","AMAZON.CO.JP","-1773","三井住友カード (VpassID)","教養・教育","書籍","","1","Uk1fePktVIzj-R78P7ZDcgQUg7UHNALEPowxuDLayMk"
"1","2025/11/06","APPLE COM BILL","-3500","三井住友カード (VpassID)","通信費","その他通信費","","0","6X6H_wdwmid_I13g3F0I5AtBSA0EN2ik_yYHNPepUz8"
"1","2025/11/06","文教堂 葉山店/iD","-1760","三井住友カード (VpassID)","教養・教育","書籍","","0","04L_7o0cmUXgWB6was4hSSvojzXX8kZQPQ2pQ4Gknlw"
"1","2025/11/05","ETC 関東支社 (自逗子 至狩場 軽・二)","-600","三井住友カード (VpassID)","自動車","道路料金","","0","3VXGxIN3WYnSe2RLwLWCdDxuClqRb-T68oV7FRyTeqo"
"1","2025/11/05","ETC 関東支社 (自新保土ヶ谷 至新保土ヶ谷 軽・二)","-260","三井住友カード (VpassID)","自動車","道路料金","","0","grX2fBurF0x0s1ttK53Q1nMt-cnapF6jwxauX6qp0iA"
"1","2025/11/05","ETC 関東支社 (自狩場 至逗子 軽・二)","-600","三井住友カード (VpassID)","自動車","道路料金","","0","Sxk7QYrPT5ycBOjZluGoLpBNIPH4Sv4o4qStxjavL4M"
"1","2025/11/05","ETC 関東支社 (自新保土ヶ谷 至新保土ヶ谷 軽・二)","-260","三井住友カード (VpassID)","自動車","道路料金","","0","V4W1oEh7w9kcSD1Wn0vK3Jts3fXKmFWDEd10edB6LRI"
"1","2025/11/05","安曇野自然食品","-10470","三井住友カード (VpassID)","食費","食料品","","0","AJX6gQ2br0vYbQQz1wpW0G4AV4KveopYhtwmOa0VJk8"
"1","2025/11/05","メルカリ","-8200","三井住友カード (VpassID)","日用品","電子機器類","","0","2hrhtR2RQQrOMsu6mR34CgBMqeWyf-5YMlv3Cz24LCE"
"1","2025/11/05","APPLE COM BILL","-450","三井住友カード (VpassID)","通信費","その他通信費","","0","UAbp5iZj5dUIXa_bo5TO4170nMZxZiNNnhKVS3TsI90"
"1","2025/11/05","ルミネ横浜","-3960","三井住友カード (VpassID)","衣服・美容","衣服","","0","3aiFiVe6-sWTlGVksIuVsZv1wD0ko8MoDjuztxvjFHE"
"1","2025/11/05","NEWoManYOKOHAMA","-7300","三井住友カード (VpassID)","日用品","日用品","","0","RqV80EzAGBtdDpkfxaErWjbpEOW8YVPLuCEvI2zejyI"
"0","2025/11/04","コウザフリカエ ポケツトカ-ド","-8740","横浜銀行","現金・カード","カード引き落とし","","1","b4QsO_NbACGmXoh53Bajsb8Or8kDry0lU3a4eFd6elY"
"1","2025/11/04","NETFLIX.COM","-890","三井住友カード (VpassID)","趣味・娯楽","映画・音楽・ゲーム","","0","f5YYraMp3GUJihADN8aBOBqVNAa7pgAiwbjkdc22q5M"
"1","2025/11/04","AP/ローソンNL シンカワ2チヨウメ","-292","ポケットカード","食費","食料品","","0","Bkq3Oz3tZDNlZBuqD6lzjKYRKfOpun4PtDKK2ZHiZtI"
"1","2025/11/04","AP/フアミリーマートシンカワチユウオウ","-330","ポケットカード","食費","食料品","","0","y-s6PVT_amLty2fXvwm5mI2d_k2q7uW3I8moLWAPF7k"
"1","2025/11/04","AP/マクドナルドJRトウキヨウエキ","-250","ポケットカード","食費","外食","","0","tHaohgzDVe5tirvRRPiaCiYBMyneEF8RcSR7bBEEzRI"
"1","2025/11/03","APPLE COM BILL","-3000","三井住友カード (VpassID)","通信費","その他通信費","","0","PD-nDzjYkYEHrSRkOu4kZcVMxwvFd9PxSZgt8RzQuPA"
"1","2025/11/03","AP/キヨスク高知銘品館","-6426","ポケットカード","未分類","未分類","","0","pZsAR6FmcRofj1RTlvPjQeppfkLMNOgGvrYvFZO9YvI"
"1","2025/11/03","AP/ウエストアライアンス","-120","ポケットカード","未分類","未分類","","0","zXf9chkAhC6Gx6REPFyjVeWO85AacGIH21vU5ML2oT0"
"1","2025/11/02","シロラインイーシー","-3520","ポケットカード","未分類","未分類","","0","bQ1iWApQzJ4llA9npODeLec_2NVrbmsSOoq6TWtCo5M"
"1","2025/11/02","AP/ローソン スクモヒラタチヨウ","-194","ポケットカード","食費","食料品","","0","dF_HC-Et4oEmo5Rwr_aQKfbv4nta860edR3NJSYc1YI"
"1","2025/11/02","＊クイツクペイリヨウ","-204","みずほJCBデビット","食費","食費","","0","ckXQBa9PWVs8Wt5gzGtHhONW5cVR5STyflzS1k3VrZI"
"0","2025/11/02","JCBデビット","-204","みずほ銀行","現金・カード","カード引き落とし","","1","w4piopv9tRzfhpnB15MKjVO7oivLkYh_CrDGENuzWzM"
"0","2025/11/01","コウザフリカエ ペイペイ チヤ-ジ","10000","PayPay","未分類","未分類","","1","fvi6tkH1a4lGvRRIOF6HGwMd91QOpQbZqe9CsmapF54"
"0","2025/11/01","コウザフリカエ ペイペイ チヤ-ジ","1500","PayPay","未分類","未分類","","1","hFR5jzcw49nWBL7JwUKNLFinE-VHuiBCGJNBdwx7fS8"
"1","2025/11/01","インタ-ネツト カ)ビ-ト アイス","-60000","横浜銀行","住宅","家賃・地代","","0","THapz-5zPhn63Fypi9RJ9kPjf-POPrcvzl0wCTU-tyQ"
"0","2025/11/01","コウザフリカエ ペイペイ チヤ-ジ","-10000","横浜銀行","現金・カード","電子マネー","","1","W0JD7dAQbzDkcRqtCRjXXOMeMTmrOF5mB3QR-UUq-Mw"
"0","2025/11/01","コウザフリカエ ペイペイ チヤ-ジ","-1500","横浜銀行","現金・カード","電子マネー","","1","IVn9wBPaNEO3q81492ncFxL39kYgI_A9P3m1IcfUNK8"
"1","2025/11/01","ボクンチ","-440","ポケットカード","趣味・娯楽","映画・音楽・ゲーム","","0","kzUK88ZlNIKU6uhkYyASN80mwSlB9sk-XErukVFIYmI"
"1","2025/11/01","AP/ローソン シマントチヨウオオイノ","-1124","ポケットカード","食費","食料品","","0","KM3Im7Q96HqsJHwMZ04Pmh2UqU9tHp-QwrF0U3e79D8"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/12/31","タイムズカー 202512ゲツガクキホンリヨウ","-880","三井住友カード (VpassID)","自動車","駐車場","","0","kBirNPPSn_PnZjO_5flR_bXUde1jO9j7rEzS0DBff0A"
"0","2025/12/31","JCBデビット","-257","みずほ銀行","現金・カード","カード引き落とし","","1","boFPnzhOg74tB-hyVCyAR6p4pZdFbtJDQuuDropJ0Y8"
"0","2025/12/31","JCBデビット","-350","みずほ銀行","現金・カード","カード引き落とし","","1","02B34OOdfNgmM5FXsk-Y2iSxMZPquTNIdkyVMDyUdEg"
"0","2025/12/31","AMAZON.CO.JP","-1880","三井住友カード (VpassID)","教養・教育","書籍","","1","_B66MFHRejIVAFzju_9b5dcxkdge4vVFZpROpKUn8OA"
"1","2025/12/31","セブン－イレブン会津石堂町店","-257","みずほJCBデビット","食費","食料品","","0","VxzgtA-gfDwWjq4SA_s963r_xAEvt0wMDBCH5R7cJlc"
"1","2025/12/31","ＮＥＸＣＯ東日本　自動販売機","-120","みずほJCBデビット","食費","食料品","","0","xHpUYKlMwsKS-zDevH6G-eDCR9nkzSXF68gasoPZ1TQ"
"1","2025/12/31","松屋","-350","みずほJCBデビット","食費","食費","","0","J70aYDoI3A9X03-w5gBwOFBlMEP_2GgrpVzyDvHYboU"
"0","2025/12/31","JCBデビット","-120","みずほ銀行","現金・カード","カード引き落とし","","1","yu8GfdGBY3Ps7d4ggUjf0WQeK4BKMj1QDD_xekJSTUA"
"1","2025/12/30","Yuta","7210","PayPay","未分類","未分類","","0","HUvspW4Y7H5aavMyUhiJoEUuMl-NV8X5Q5Tgx2gL3jE"
"1","2025/12/30","APPLE COM BILL","-1080","三井住友カード (VpassID)","通信費","その他通信費","","0","DdghiHbDY9m7GUDZAxmh-sJk2Zh-9y85Gi5s1ShE-SY"
"1","2025/12/30","フアミリ－マ－トハヤママチ","-1571","みずほJCBデビット","食費","食費","","0","0Z-0J7I5l-q4L7XHvY2xfbTYx8bRdYkrBoS5TvEiEBI"
"1","2025/12/30","スギ薬局銀座一丁目店","-1298","みずほJCBデビット","日用品","ドラッグストア","","0","u8sV0FcbUs3Y7IqEyBdUUuRfF0ANlY3q7gazDHPvAcU"
"0","2025/12/30","JCBデビット","-1298","みずほ銀行","現金・カード","カード引き落とし","","1","Mbx-N6JY8t7j2DSF1nQ7TzaNp_rIAui9ZcUQm4kDOZI"
"0","2025/12/30","JCBデビット","-1571","みずほ銀行","現金・カード","カード引き落とし","","1","H4bNKlrpS4Vg_kSZiuD4L0mi8_Pt-KO3wY-WwBTM6So"
"1","2025/12/29","三井アウトレットパーク横浜ベイサイド","3","PayPay","未分類","未分類","","0","VrWk0RVcc2kAEzV6dAFwlbp0PDyoozXXo3LsLEUQTxo"
"1","2025/12/29","三井アウトレットパーク横浜ベイサイド","-687","PayPay","未分類","未分類","","0","GYH0l6iy3bGw0jDVP0zE9KzW_4hsViSlT5gMtcpLq08"
"1","2025/12/29","コウザフリカエ オリコ","-3400","横浜銀行","その他","返済","","0","zOYTjFd46COlF0nfRTHHc7ZndP3CyBOktLJq9EY-gfA"
"1","2025/12/29","コウザフリカエ ニホンガクセイシエンキ","-9899","横浜銀行","その他","返済","","0","p1QaIPdIGrHZ_1M_1WEf1ibL1fvUGlvPlCRBedQfIyM"
"1","2025/12/29","ゴヘンサイ","-12916","横浜銀行","その他","返済","","0","ULZa6HLVPH2JTiJl5ykJDi874IviMKjd-Xo2IU3aNIM"
"1","2025/12/29","Ad free for Prime Video 販売: AIV_AddOn_JPProd","-390","Amazon.co.jp","未分類","未分類","","0","FWI9Pq8aSy3ZbgNd0VwXDbsp83cpjurIh-v1jM0oLO0"
"1","2025/12/29","ユニクロ","-21385","三井住友カード (VpassID)","衣服・美容","衣服","","0","jr94Vjf7_XqBzzepdGdRbcBVzRsfg-FmBisgPnpTtX8"
"0","2025/12/29","AMAZON.CO.JP","-390","三井住友カード (VpassID)","教養・教育","書籍","","1","FEjRdV5pAYYno8Y0IKmTl7v16BOto4TG-IroPZ4JiCY"
"1","2025/12/28","Yuta","-3250","PayPay","交通費","その他交通費","","0","qWfIC--C7twEW_Mn5Ac38hIfamYS5n266Vvr43FXbdA"
"1","2025/12/28","Yuta","-1100","PayPay","交通費","その他交通費","","0","JzAxTAK01Xpi1voWY3LwbsSEv0DdDn0XUY-A1vkDzb0"
"1","2025/12/28","【3本セット】アルコン クリアケア 大容量480ml 医薬部外品 AOセプト コンタクトレンズ 洗浄液 ソフトコンタクトレンズ用 レンズケース付き レンズケア 販売: ケンサポ","-4200","Amazon.co.jp","健康・医療","ボディケア","","0","C90p3UIynQzifhgb6svJhCKBUnUEKhmfGDS9o046DkE"
"1","2025/12/28","ファミリーマート","-165","三井住友カード (VpassID)","趣味・娯楽","映画・音楽・ゲーム","","0","qIIDqVMvOh5iiuRAHVYq1pdeBngoLWdVUu_a1boqdVY"
"0","2025/12/28","JCBデビット","-390","みずほ銀行","現金・カード","カード引き落とし","","1","RrFCzfNS-imSBnZ0Zyd45d1BcpMycUYJj_yN4Ah6QL4"
"0","2025/12/28","JCBデビット","-2170","みずほ銀行","現金・カード","カード引き落とし","","1","1T-pnnsq0FlGvAl1MOJID5QK463PIrIxDRsYuQBCSOs"
"0","2025/12/28","AMAZON.CO.JP","-4200","三井住友カード (VpassID)","教養・教育","書籍","","1","BI-Q82C3g1vaeoMKn24yEd75k2tCqefn2DcOAg2ulWM"
"1","2025/12/28","ノジマ　三浦店","-2170","みずほJCBデビット","未分類","未分類","","0","uEiVQNU198xSXghWi-gCPsCaBt8vHP8QE1txoCaLGbQ"
"1","2025/12/28","フアミリ－マ－トハヤママチ","-390","みずほJCBデビット","食費","食費","","0","Rk4F2O4obgUxhUcpnaVQxzuLSqFlFR5BsqcJLgR0QFk"
"1","2025/12/27","ないき","-3200","PayPay","未分類","未分類","","0","OlJo3ZuNiQDdg0bEl-LlYAddotZGWqxneDbWd4hGgU0"
"0","2025/12/27","JCBデビット","-800","みずほ銀行","現金・カード","カード引き落とし","","1","-eSNPIEELlZQeomyqzlAex3d-QzKBSacq0wSWSWvRXs"
"1","2025/12/27","有明アリーナ　レストラン／売店","-800","みずほJCBデビット","食費","外食","","0","FksGsK_dtKdob0VJhqAcxadc08niOiyjQq6rk4eqZ5k"
"1","2025/12/26","サカモト ヒロキ","8000","PayPay","未分類","未分類","","0","iGrZ9USxR1_FCvwwwfESf3uaV8tRLC8O0YRrpHKcIzk"
"0","2025/12/26","ジドウキ (イ-ネツト)","20000","現金","未分類","未分類","","1","S_CbyLb_KLwZV5Qe5-LN_CmNpWNGD-yNgtww-ixB62k"
"0","2025/12/26","ジドウキ (イ-ネツト)","-20000","横浜銀行","現金・カード","ATM引き出し","","1","ENT7_F4mbviVisoV8Lsh7PWOFMXABaNpbTYi6X2cQiI"
"0","2025/12/26","クレジツト ミツイスミトモカ-ド (カ","-337992","横浜銀行","現金・カード","カード引き落とし","","1","_-UP3Ja5CynhsFp8nhTyEsNSvwdMI0AwoB7KQbvDdrQ"
"1","2025/12/26","テスウリヨウ","-154","横浜銀行","その他","雑費","","0","O8hVAQGT9SzJhCRsfkobleY8CapAG-qg_cO_RiVYWys"
"0","2025/12/26","インタ-ネツト クドウ リク","-10000","横浜銀行","その他","返済","","1","n1AK89IcnO3W48HrBTRVjNx2UfqknS9wdEMxzdkWon8"
"1","2025/12/26","モバイルPASMOチャージ","-5000","三井住友カード (VpassID)","現金・カード","電子マネー","","0","1QP724Ccm0nrMmM7YK65o99FVpPwteLaKIMZCnXE654"
"1","2025/12/26","ファミリーマート","-15910","三井住友カード (VpassID)","趣味・娯楽","映画・音楽・ゲーム","","0","NrOfPDIsuwGGJw3M_P-UP9mp7zuQ5VfZUIzSJrRlH2Y"
"0","2025/12/26","クドウ リク","10000","仙台銀行","未分類","未分類","","1","StSYEQ1AifXZ4e7wRsUVqDb7cs9HLKBNmaDmTEo5w4E"
"0","2025/12/26","JCBデビット","-486","みずほ銀行","現金・カード","カード引き落とし","","1","HuhXt8B-eeR0qyZ6AI3sempCjIsmhvCsb_YdTSYhTqI"
"0","2025/12/26","JCBデビット","-113","みずほ銀行","現金・カード","カード引き落とし","","1","r7O2Egta7Qw8dJIWgE8MpFIT0p2qyPe29mcm44khLgY"
"1","2025/12/26","フアミリ－マ－トシブヤサンチヨウメ","-113","みずほJCBデビット","食費","食費","","0","INvXsvtiP1R97MNP5-OEyxvy8uQgZknNFOV5Ng1JP3E"
"1","2025/12/26","フアミリ－マ－トシブヤサンチヨウメ","-486","みずほJCBデビット","食費","食費","","0","SBMQjMbtbVn0VIx5rZP8RsdJ0AP-c56IzINzmNqY4wY"
"1","2025/12/25","povoご利用料金","-2780","三井住友カード (VpassID)","通信費","携帯電話","","0","LyyluIG3WuLYV5ceGIr5NogWgMaLPw0dpx-n5kB6yBU"
"0","2025/12/25","JCBデビット","-838","みずほ銀行","現金・カード","カード引き落とし","","1","qOW3eHOQC81rCW6HLeZkQ0Ykvn8D9K2cl5j4hektOsM"
"1","2025/12/25","相鉄ローゼン","-3658","三井住友カード (VpassID)","食費","食料品","","0","TeBzIlJalJbgU2y9RWjY3zRTHczu7yO_sNIPETqGv-A"
"1","2025/12/25","ウエルシア〔ハックドラッグ〕","-838","みずほJCBデビット","日用品","ドラッグストア","","0","nRkk_MMlfS1vJmoEUs1i13jIRBBIkNB2mnnICe-Lg3w"
"1","2025/12/24","三井のリパーク","1","PayPay","未分類","未分類","","0","vX_iApQQCpPUgt48nABG23ZemKaBjWZf8hdKRB-Rd5A"
"1","2025/12/24","三井のリパーク","-330","PayPay","未分類","未分類","","0","qBu_OyxK3ZLTJ9s5_T1ndYFxGPoyf09nur5KfjjG_qg"
"1","2025/12/22","出光興産SS/iD","-1589","三井住友カード (VpassID)","自動車","ガソリン","","0","_TRxvLM7to1Jf8u-yz4Pld74k24EWNQLqivTxRtkIFQ"
"1","2025/12/22","レストランG","-8900","三井住友カード (VpassID)","食費","外食","","0","lOcgd95ftkqqYjjFkgnxZFQts7D143Ksjs3dL94D2XM"
"1","2025/12/22","セブン－イレブン逗子桜山３丁目店","-778","みずほJCBデビット","食費","食料品","","0","yOQhcNVplb1a0yss91-qsUJDjwPybz-r66nbRFW5V58"
"0","2025/12/22","JCBデビット","-778","みずほ銀行","現金・カード","カード引き落とし","","1","-y3Z-fvVMdhTV2qKVOEDcssoYyTTkX5kbYBoP3QyyoE"
"1","2025/12/21","ETC 関東支社 (自狩場 至横須賀 軽・二)","-630","三井住友カード (VpassID)","自動車","道路料金","","0","vRs6eEQ5FNA0uXcOZTDFapUv3LLpzGPhVSCDGOYgjMg"
"1","2025/12/21","ETC首都高 (自横浜駅西口 至横横狩場接 軽・二)","-500","三井住友カード (VpassID)","自動車","道路料金","","0","mjPwqreB_AB7RgaqVnNiTEugdyZ-TDESnQu7Arag2sk"
"1","2025/12/21","ローソン/iD","-580","三井住友カード (VpassID)","食費","食料品","","0","WC2tb2Dx83At0SCDhdFJlUWsrZXocH4XEIg3OZF9HM4"
"1","2025/12/21","すき家","-450","みずほJCBデビット","食費","食費","","0","-w56EHw-TzqS1DSrQGfmmH3vJ4ZbYIx6sPpAlylR1Sc"
"0","2025/12/21","JCBデビット","-450","みずほ銀行","現金・カード","カード引き落とし","","1","vmlyDJXOmnSmwpM4OyB-XABDC5RsTPaNsz9TMBOzUhA"
"1","2025/12/20","モバイルPASMOチャージ","-5000","三井住友カード (VpassID)","現金・カード","電子マネー","","0","fqLfBN0yi2lJbnpTCQW7ZmFs9crpzFQgw5GCrBDN2Fs"
"1","2025/12/19","キユウリヨウ ニツテツソリユ-シヨンズヒガシニホン(カ","365782","横浜銀行","収入","給与","","0","WBN7ff91GoaiLVsEI2YwM2N1VYiZN8yMrlTdSu4k8MY"
"1","2025/12/19","ETC 関東支社 (自横須賀 至狩場 軽・二)","-630","三井住友カード (VpassID)","自動車","道路料金","","0","1fepoYajSRj3df2taj5V0T48OVcYbZ-8KXrNBVHl4Eo"
"1","2025/12/19","ETC首都高 (自横横狩場接 至阪東橋 軽・二)","-290","三井住友カード (VpassID)","自動車","道路料金","","0","gLC8uPCmQnWoi9JWZZASqoazLuQpeM50GITrrqynKpw"
"1","2025/12/19","Square SQ*ヨコハマ・セーラスタジオ","-3520","三井住友カード (VpassID)","未分類","未分類","","0","WQV6YF2JLS-UJ5e0abmtS1_RkGruyXpx8ryyP6kVKk4"
